dummy;counter_type;hadoop_job_id;counter_name;start_time;counter_group;counter_desc;counter_val;hadoop_task_id;general_info;hdfsPath;hadoopLogPath
junk;JOB_INFO;job_201407220146_0009;FILE_BYTES_READ;1406024172266;org.apache.hadoop.mapreduce.FileSystemCounter;FILE: Number of bytes read;4645;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;FILE_BYTES_WRITTEN;1406024172266;org.apache.hadoop.mapreduce.FileSystemCounter;FILE: Number of bytes written;1259000;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;FILE_READ_OPS;1406024172266;org.apache.hadoop.mapreduce.FileSystemCounter;FILE: Number of read operations;0;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;FILE_LARGE_READ_OPS;1406024172266;org.apache.hadoop.mapreduce.FileSystemCounter;FILE: Number of large read operations;0;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;FILE_WRITE_OPS;1406024172266;org.apache.hadoop.mapreduce.FileSystemCounter;FILE: Number of write operations;0;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;HDFS_BYTES_READ;1406024172266;org.apache.hadoop.mapreduce.FileSystemCounter;HDFS: Number of bytes read;1804;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;HDFS_BYTES_WRITTEN;1406024172266;org.apache.hadoop.mapreduce.FileSystemCounter;HDFS: Number of bytes written;102077;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;HDFS_READ_OPS;1406024172266;org.apache.hadoop.mapreduce.FileSystemCounter;HDFS: Number of read operations;492;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;HDFS_LARGE_READ_OPS;1406024172266;org.apache.hadoop.mapreduce.FileSystemCounter;HDFS: Number of large read operations;0;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;HDFS_WRITE_OPS;1406024172266;org.apache.hadoop.mapreduce.FileSystemCounter;HDFS: Number of write operations;170;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;TOTAL_LAUNCHED_MAPS;1406024172266;org.apache.hadoop.mapreduce.JobCounter;Launched map tasks;2;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;TOTAL_LAUNCHED_REDUCES;1406024172266;org.apache.hadoop.mapreduce.JobCounter;Launched reduce tasks;2;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;DATA_LOCAL_MAPS;1406024172266;org.apache.hadoop.mapreduce.JobCounter;Data-local map tasks;2;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;SLOTS_MILLIS_MAPS;1406024172266;org.apache.hadoop.mapreduce.JobCounter;Total time spent by all maps in occupied slots (ms);38505;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;SLOTS_MILLIS_REDUCES;1406024172266;org.apache.hadoop.mapreduce.JobCounter;Total time spent by all reduces in occupied slots (ms);107620;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;FALLOW_SLOTS_MILLIS_MAPS;1406024172266;org.apache.hadoop.mapreduce.JobCounter;Total time spent by all maps waiting after reserving slots (ms);0;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;FALLOW_SLOTS_MILLIS_REDUCES;1406024172266;org.apache.hadoop.mapreduce.JobCounter;Total time spent by all reduces waiting after reserving slots (ms);0;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;MAP_INPUT_RECORDS;1406024172266;org.apache.hadoop.mapreduce.TaskCounter;Map input records;14;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
junk;JOB_INFO;job_201407220146_0009;MAP_OUTPUT_RECORDS;1406024172266;org.apache.hadoop.mapreduce.TaskCounter;Map output records;311;job_201407220146_0009;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0009;hdfs://localhost:50030/logs/userlogs/job_201407220146_0009/TASK/stdout
